id, dia, tipoAislante, temperatura, tiempoAplicacion, vidaUtilHora, vidaUtil
1,1, SinAislante,-19,1440,00:28:17,1697
2,1, SinAislante,-19,1440,00:29:02,1742
3,1, SinAislante,-19,1440,00:28:15,1695
4,1, SinAislante,-19,1440,00:26:34,1594
5,1, Plastaformo,-19,1440,00:31:10,1870
6,1, Plastaformo,-19,1440,00:32:14,1934
7,1, Plastaformo,-19,1440,00:31:11,1871
8,1, Plastaformo,-19,1440,00:33:55,2035
9,1, CintaAislante,-19,1440,00:30:47,1847
10,1, CintaAislante,-19,1440,00:30:09,1809
11,1, CintaAislante,-19,1440,00:28:43,1723
12,1, CintaAislante,-19,1440,00:29:47,1787
13,2, SinAislante,-17,1440,00:29:04,1744
14,2, SinAislante,-17,1440,00:30:00,1800
15,2, SinAislante,-17,1440,00:30:13,1813
16,2, SinAislante,-17,1440,00:29:58,1798
17,2, Plastaformo,-17,1440,00:33:06,1986
18,2, Plastaformo,-17,1440,00:32:34,1954
19,2, Plastaformo,-17,1440,00:31:57,1917
20,2, Plastaformo,-17,1440,00:29:31,1771
21,2, CintaAislante,-17,1440,00:30:27,1827
22,2, CintaAislante,-17,1440,00:29:35,1775
23,2, CintaAislante,-17,1440,00:29:40,1780
24,2, CintaAislante,-17,1440,00:28:29,1709
25,3, SinAislante,-11,1440,00:34:24,2064
26,3, SinAislante,-11,1440,00:33:36,2016
27,3, SinAislante,-11,1440,00:32:06,1926
28,3, SinAislante,-11,1440,00:29:22,1762
29,3, Plastaformo,-11,1440,00:34:09,2049
30,3, Plastaformo,-11,1440,00:33:19,1999
31,3, Plastaformo,-11,1440,00:31:56,1916
32,3, Plastaformo,-11,1440,00:32:41,1961
33,3, CintaAislante,-11,1440,00:33:00,1980
34,3, CintaAislante,-11,1440,00:32:37,1957
35,3, CintaAislante,-11,1440,00:33:16,1996
36,3, CintaAislante,-11,1440,00:30:01,1801
